culture,concept,emotion,count,bucket
zh,oil on canvas,contentment,1310,N >= 30
zh,white,contentment,1158,N >= 30
zh,visible brushstrokes,contentment,879,N >= 30
zh,brown,contentment,863,N >= 30
zh,trees,contentment,775,N >= 30
zh,asymmetrical composition,contentment,673,N >= 30
zh,clouds,contentment,635,N >= 30
zh,ochre,contentment,626,N >= 30
zh,earthy tones,contentment,604,N >= 30
zh,green,contentment,569,N >= 30
zh,blue,contentment,566,N >= 30
zh,atmospheric perspective,contentment,531,N >= 30
zh,sky,contentment,516,N >= 30
zh,yellow,contentment,466,N >= 30
zh,red,contentment,458,N >= 30
zh,black,contentment,446,N >= 30
zh,olive green,contentment,425,N >= 30
zh,woman,contentment,416,N >= 30
zh,rural landscape,contentment,414,N >= 30
zh,chinese calligraphy,contentment,411,N >= 30
zh,cream,contentment,390,N >= 30
zh,pale blue,contentment,380,N >= 30
zh,grey,contentment,370,N >= 30
zh,oil painting,contentment,362,N >= 30
zh,river,contentment,344,N >= 30
zh,gold,contentment,327,N >= 30
zh,terracotta,contentment,324,N >= 30
zh,calligraphy,contentment,320,N >= 30
zh,impressionistic brushwork,contentment,317,N >= 30
zh,mountain landscape,contentment,312,N >= 30
zh,hills,contentment,308,N >= 30
zh,chiaroscuro lighting,contentment,307,N >= 30
zh,dark brown,contentment,304,N >= 30
zh,earthy brown,contentment,303,N >= 30
zh,textured surface,contentment,303,N >= 30
zh,horizontal composition,contentment,295,N >= 30
zh,mountains,contentment,294,N >= 30
zh,indoor setting,contentment,292,N >= 30
zh,impressionism,contentment,276,N >= 30
zh,chinese calligraphy,disgust,273,N >= 30
zh,pale yellow,contentment,271,N >= 30
zh,outdoor scene,contentment,270,N >= 30
zh,outdoor setting,contentment,265,N >= 30
zh,monochrome,contentment,264,N >= 30
zh,muted green,contentment,264,N >= 30
zh,dappled light,contentment,261,N >= 30
zh,vertical composition,contentment,261,N >= 30
zh,foliage,contentment,256,N >= 30
zh,chiaroscuro,contentment,254,N >= 30
zh,water,contentment,250,N >= 30
zh,fine brushwork,contentment,248,N >= 30
zh,orange,contentment,245,N >= 30
zh,earthy browns,contentment,244,N >= 30
zh,dark green,contentment,234,N >= 30
zh,earth tones,contentment,228,N >= 30
zh,mountain landscape,disgust,228,N >= 30
zh,loose brushwork,contentment,225,N >= 30
zh,pink,contentment,224,N >= 30
zh,leaves,contentment,222,N >= 30
zh,riverbank,contentment,211,N >= 30
zh,calligraphy,disgust,210,N >= 30
zh,figures,contentment,205,N >= 30
zh,impressionist brushwork,contentment,205,N >= 30
zh,soft lighting,contentment,202,N >= 30
zh,asymmetrical composition,disgust,199,N >= 30
zh,atmospheric perspective,disgust,195,N >= 30
zh,black ink,contentment,195,N >= 30
zh,coastal landscape,contentment,191,N >= 30
zh,beige,contentment,185,N >= 30
zh,browns,contentment,183,N >= 30
zh,muted greens,contentment,183,N >= 30
zh,man,contentment,176,N >= 30
zh,buildings,contentment,174,N >= 30
zh,flat perspective,contentment,171,N >= 30
zh,monochrome,disgust,171,N >= 30
zh,still life,contentment,171,N >= 30
zh,mountains,disgust,170,N >= 30
zh,rocks,contentment,170,N >= 30
zh,flesh tones,contentment,165,N >= 30
zh,ink and wash painting,contentment,161,N >= 30
zh,diagonal composition,contentment,160,N >= 30
zh,black ink,disgust,159,N >= 30
zh,red seal stamps,contentment,159,N >= 30
zh,grass,contentment,158,N >= 30
zh,deciduous trees,contentment,157,N >= 30
zh,pine trees,contentment,155,N >= 30
zh,ink wash painting,disgust,152,N >= 30
zh,textured paint application,contentment,152,N >= 30
zh,houses,contentment,151,N >= 30
zh,pale pink,contentment,151,N >= 30
zh,fine brushwork,disgust,149,N >= 30
zh,purple,contentment,147,N >= 30
zh,outdoor landscape,contentment,146,N >= 30
zh,countryside,contentment,145,N >= 30
zh,natural light,contentment,145,N >= 30
zh,flat color planes,contentment,141,N >= 30
zh,high horizon line,contentment,141,N >= 30
zh,soft focus,contentment,141,N >= 30
zh,linear perspective,contentment,134,N >= 30
zh,light blue,contentment,132,N >= 30
zh,flowers,contentment,131,N >= 30
zh,ink wash painting,contentment,131,N >= 30
zh,sea,contentment,129,N >= 30
zh,black,fear,128,N >= 30
zh,ink and color on silk,contentment,127,N >= 30
zh,terracotta red,contentment,126,N >= 30
zh,dirt path,contentment,124,N >= 30
zh,grassy field,contentment,123,N >= 30
zh,black and white,contentment,122,N >= 30
zh,garden,contentment,122,N >= 30
zh,lavender,contentment,121,N >= 30
zh,river landscape,contentment,121,N >= 30
zh,dark blue,contentment,120,N >= 30
zh,impasto texture,contentment,120,N >= 30
zh,trees,disgust,120,N >= 30
zh,muted blue,contentment,119,N >= 30
zh,neutral background,contentment,119,N >= 30
zh,ochre,sadness,119,N >= 30
zh,rocks,disgust,117,N >= 30
zh,fine line brushwork,contentment,115,N >= 30
zh,impasto,contentment,113,N >= 30
zh,pine trees,disgust,113,N >= 30
zh,deep blue,contentment,112,N >= 30
zh,muted blues,contentment,112,N >= 30
zh,soft brushwork,contentment,111,N >= 30
zh,golden yellow,contentment,109,N >= 30
zh,beige background,contentment,108,N >= 30
zh,fine line drawing,contentment,108,N >= 30
zh,halo,contentment,108,N >= 30
zh,ink and wash painting,disgust,106,N >= 30
zh,river,disgust,106,N >= 30
zh,white,fear,106,N >= 30
zh,distant hills,contentment,105,N >= 30
zh,fine line work,contentment,105,N >= 30
zh,impasto brushwork,contentment,103,N >= 30
zh,monochrome,fear,103,N >= 30
zh,bold outlines,contentment,101,N >= 30
zh,red seal stamps,disgust,101,N >= 30
zh,river valley,contentment,101,N >= 30
zh,oil on canvas,sadness,100,N >= 30
zh,muted earth tones,contentment,99,N >= 30
zh,seascape,contentment,99,N >= 30
zh,studio portrait,contentment,99,N >= 30
zh,pale green,contentment,97,N >= 30
zh,stems,contentment,97,N >= 30
zh,chiaroscuro,fear,96,N >= 30
zh,black and white,fear,95,N >= 30
zh,boats,contentment,95,N >= 30
zh,brown,sadness,94,N >= 30
zh,natural daylight,contentment,94,N >= 30
zh,red,disgust,93,N >= 30
zh,red artist seals,contentment,93,N >= 30
zh,visible brushstrokes,sadness,93,N >= 30
zh,deep red,contentment,92,N >= 30
zh,detailed brushwork,contentment,91,N >= 30
zh,muted tones,contentment,90,N >= 30
