concept,count,bucket
oil on canvas,1542,N >= 30
white,1518,N >= 30
brown,1193,N >= 30
visible brushstrokes,1055,N >= 30
trees,1015,N >= 30
asymmetrical composition,1014,N >= 30
ochre,925,N >= 30
atmospheric perspective,862,N >= 30
clouds,839,N >= 30
earthy tones,836,N >= 30
blue,761,N >= 30
black,756,N >= 30
chinese calligraphy,746,N >= 30
green,723,N >= 30
red,708,N >= 30
monochrome,647,N >= 30
mountain landscape,611,N >= 30
calligraphy,600,N >= 30
sky,599,N >= 30
yellow,595,N >= 30
grey,557,N >= 30
mountains,544,N >= 30
woman,539,N >= 30
olive green,536,N >= 30
cream,529,N >= 30
dark brown,504,N >= 30
gold,498,N >= 30
river,493,N >= 30
rural landscape,483,N >= 30
oil painting,479,N >= 30
vertical composition,476,N >= 30
fine brushwork,472,N >= 30
chiaroscuro,467,N >= 30
hills,455,N >= 30
pale blue,440,N >= 30
chiaroscuro lighting,439,N >= 30
terracotta,417,N >= 30
outdoor setting,416,N >= 30
indoor setting,414,N >= 30
black ink,397,N >= 30
earthy brown,377,N >= 30
muted green,377,N >= 30
water,374,N >= 30
horizontal composition,372,N >= 30
earth tones,365,N >= 30
textured surface,362,N >= 30
pale yellow,361,N >= 30
outdoor scene,350,N >= 30
black and white,345,N >= 30
foliage,340,N >= 30
rocks,339,N >= 30
impressionistic brushwork,335,N >= 30
riverbank,331,N >= 30
flat perspective,330,N >= 30
orange,327,N >= 30
beige,323,N >= 30
dark green,319,N >= 30
ink wash painting,312,N >= 30
man,309,N >= 30
loose brushwork,307,N >= 30
earthy browns,301,N >= 30
pine trees,297,N >= 30
ink and wash painting,296,N >= 30
impressionism,293,N >= 30
figures,289,N >= 30
pink,288,N >= 30
red seal stamps,280,N >= 30
dappled light,278,N >= 30
leaves,276,N >= 30
deciduous trees,267,N >= 30
flesh tones,264,N >= 30
browns,261,N >= 30
soft lighting,255,N >= 30
muted greens,249,N >= 30
cross-hatching,247,N >= 30
halo,241,N >= 30
diagonal composition,235,N >= 30
fine line drawing,235,N >= 30
coastal landscape,231,N >= 30
fine line work,229,N >= 30
flat color planes,228,N >= 30
ink and color on silk,228,N >= 30
impressionist brushwork,219,N >= 30
outdoor landscape,216,N >= 30
buildings,209,N >= 30
shades of grey,209,N >= 30
purple,199,N >= 30
linear perspective,198,N >= 30
red artist seals,191,N >= 30
beige background,190,N >= 30
river valley,189,N >= 30
grass,187,N >= 30
houses,187,N >= 30
pale pink,187,N >= 30
impasto texture,186,N >= 30
fine line brushwork,185,N >= 30
neutral background,183,N >= 30
still life,182,N >= 30
dark blue,181,N >= 30
light blue,176,N >= 30
bold outlines,174,N >= 30
sepia,171,N >= 30
terracotta red,171,N >= 30
river landscape,170,N >= 30
soft focus,169,N >= 30
impasto,168,N >= 30
